gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
UNC119,retina,1,,3_vital
UNC119B,fallopian tube,1,,2_restricted
UNC13A,"cerebellum, cerebral cortex",2,,3_vital
UNC13B,"lung, retina",2,,3_vital
UNC13C,"amygdala, cerebellum, cerebral cortex",3,,3_vital
UNC13D,"bone marrow, spleen",2,0.000279196655142482,1a_lymphoid
UNC45A,blood vessel,1,,2_restricted
UNC45B,"skeletal muscle, tongue",2,,3_vital
UNC50,parathyroid gland,1,,2_restricted
UNC5A,"cerebellum, cerebral cortex",2,,3_vital
UNC5B,"cerebellum, seminal vesicle",2,,3_vital
UNC5C,thyroid gland,1,,2_restricted
UNC5CL,"kidney, liver",2,,3_vital
UNC5D,duodenum,1,,2_restricted
